_id,COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
161,Santa Barbara,2015,Child vs. adult,18+ years,18+ years,"1,045",30.5,
162,Santa Clara,2015,Child vs. adult,18+ years,18+ years,"4,545",31.9,
163,Santa Cruz,2015,Child vs. adult,18+ years,18+ years,567,28.1,
164,Shasta,2015,Child vs. adult,18+ years,18+ years,715,54.4,
165,Sierra,2015,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
166,Siskiyou,2015,Child vs. adult,18+ years,18+ years,133,45.8,
167,Solano,2015,Child vs. adult,18+ years,18+ years,"2,274",70.7,
168,Sonoma,2015,Child vs. adult,18+ years,18+ years,"1,350",34.4,
169,Stanislaus,2015,Child vs. adult,18+ years,18+ years,"2,045",51.9,
170,Sutter,2015,Child vs. adult,18+ years,18+ years,216,29.4,
171,Tehama,2015,Child vs. adult,18+ years,18+ years,195,41.4,
172,Trinity,2015,Child vs. adult,18+ years,18+ years,60,70.2,
173,Tulare,2015,Child vs. adult,18+ years,18+ years,"1,278",39.4,
174,Tuolumne,2015,Child vs. adult,18+ years,18+ years,203,50.4,
175,Ventura,2015,Child vs. adult,18+ years,18+ years,"1,662",25.8,
176,Yolo,2015,Child vs. adult,18+ years,18+ years,561,36,
177,Yuba,2015,Child vs. adult,18+ years,18+ years,215,39.5,
178,California,2015,Age groups,0–4 years,0–4 years,"25,563",98.7,
179,Alameda,2015,Age groups,0–4 years,0–4 years,"1,354",134.6,
180,Alpine,2015,Age groups,0–4 years,0–4 years,0,0,
181,Amador,2015,Age groups,0–4 years,0–4 years,17,128.3,
182,Butte,2015,Age groups,0–4 years,0–4 years,99,87.8,
183,Calaveras,2015,Age groups,0–4 years,0–4 years,18,106.8,
184,Colusa,2015,Age groups,0–4 years,0–4 years,14,87.5,
185,Contra Costa,2015,Age groups,0–4 years,0–4 years,791,125.5,
186,Del Norte,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
187,El Dorado,2015,Age groups,0–4 years,0–4 years,48,55.9,
188,Fresno,2015,Age groups,0–4 years,0–4 years,"1,792",220.1,
189,Glenn,2015,Age groups,0–4 years,0–4 years,20,98.9,
190,Humboldt,2015,Age groups,0–4 years,0–4 years,43,65.2,
191,Imperial,2015,Age groups,0–4 years,0–4 years,161,100.9,
192,Inyo,2015,Age groups,0–4 years,0–4 years,13,138.9,
193,Kern,2015,Age groups,0–4 years,0–4 years,878,117.2,
194,Kings,2015,Age groups,0–4 years,0–4 years,212,171.7,
195,Lake,2015,Age groups,0–4 years,0–4 years,30,87.6,
196,Lassen,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
197,Los Angeles,2015,Age groups,0–4 years,0–4 years,"6,693",98.7,
198,Madera,2015,Age groups,0–4 years,0–4 years,241,198.1,
199,Marin,2015,Age groups,0–4 years,0–4 years,61,48.5,
200,Mariposa,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
201,Mendocino,2015,Age groups,0–4 years,0–4 years,40,79.4,
202,Merced,2015,Age groups,0–4 years,0–4 years,373,176.2,
203,Modoc,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
204,Mono,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
205,Monterey,2015,Age groups,0–4 years,0–4 years,336,99.5,
206,Napa,2015,Age groups,0–4 years,0–4 years,54,66.2,
207,Nevada,2015,Age groups,0–4 years,0–4 years,30,73.5,
208,Orange,2015,Age groups,0–4 years,0–4 years,"1,668",82.8,
209,Placer,2015,Age groups,0–4 years,0–4 years,91,45.2,
210,Plumas,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
211,Riverside,2015,Age groups,0–4 years,0–4 years,"1,143",71.2,
212,Sacramento,2015,Age groups,0–4 years,0–4 years,"1,150",114.6,
213,San Benito,2015,Age groups,0–4 years,0–4 years,27,68.6,
214,San Bernardino,2015,Age groups,0–4 years,0–4 years,"1,523",96.3,
215,San Diego,2015,Age groups,0–4 years,0–4 years,"1,870",86.7,
216,San Francisco,2015,Age groups,0–4 years,0–4 years,396,88.7,
217,San Joaquin,2015,Age groups,0–4 years,0–4 years,616,116,
218,San Luis Obispo,2015,Age groups,0–4 years,0–4 years,87,66.8,
219,San Mateo,2015,Age groups,0–4 years,0–4 years,330,70.1,
220,Santa Barbara,2015,Age groups,0–4 years,0–4 years,217,77.4,
221,Santa Clara,2015,Age groups,0–4 years,0–4 years,689,55,
222,Santa Cruz,2015,Age groups,0–4 years,0–4 years,141,85.7,
223,Shasta,2015,Age groups,0–4 years,0–4 years,110,103.8,
224,Sierra,2015,Age groups,0–4 years,0–4 years,0,0,
225,Siskiyou,2015,Age groups,0–4 years,0–4 years,16,75,
226,Solano,2015,Age groups,0–4 years,0–4 years,365,143,
227,Sonoma,2015,Age groups,0–4 years,0–4 years,216,78.4,
228,Stanislaus,2015,Age groups,0–4 years,0–4 years,364,92.5,
229,Sutter,2015,Age groups,0–4 years,0–4 years,33,48,
230,Tehama,2015,Age groups,0–4 years,0–4 years,39,104.9,
231,Trinity,2015,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
232,Tulare,2015,Age groups,0–4 years,0–4 years,508,123.4,
233,Tuolumne,2015,Age groups,0–4 years,0–4 years,12,55.1,
234,Ventura,2015,Age groups,0–4 years,0–4 years,442,78.4,
235,Yolo,2015,Age groups,0–4 years,0–4 years,105,90.2,
236,Yuba,2015,Age groups,0–4 years,0–4 years,51,85.2,
237,California,2015,Age groups,5–17 years,5–17 years,"48,487",74,
238,Alameda,2015,Age groups,5–17 years,5–17 years,"2,072",82.8,
239,Alpine,2015,Age groups,5–17 years,5–17 years,0,0,
240,Amador,2015,Age groups,5–17 years,5–17 years,28,69.3,
241,Butte,2015,Age groups,5–17 years,5–17 years,209,61.8,
242,Calaveras,2015,Age groups,5–17 years,5–17 years,28,47,
243,Colusa,2015,Age groups,5–17 years,5–17 years,34,73.2,
244,Contra Costa,2015,Age groups,5–17 years,5–17 years,"1,539",84.1,
245,Del Norte,2015,Age groups,5–17 years,5–17 years,39,91.5,
246,El Dorado,2015,Age groups,5–17 years,5–17 years,122,43.5,
247,Fresno,2015,Age groups,5–17 years,5–17 years,"2,690",132.4,
248,Glenn,2015,Age groups,5–17 years,5–17 years,19,34.5,
249,Humboldt,2015,Age groups,5–17 years,5–17 years,110,57.2,
250,Imperial,2015,Age groups,5–17 years,5–17 years,576,154.5,
251,Inyo,2015,Age groups,5–17 years,5–17 years,20,74.8,
252,Kern,2015,Age groups,5–17 years,5–17 years,"1,688",89.3,
253,Kings,2015,Age groups,5–17 years,5–17 years,403,133,
254,Lake,2015,Age groups,5–17 years,5–17 years,85,91.6,
255,Lassen,2015,Age groups,5–17 years,5–17 years,26,62.8,
256,Los Angeles,2015,Age groups,5–17 years,5–17 years,"13,847",85,
257,Madera,2015,Age groups,5–17 years,5–17 years,345,109.1,
258,Marin,2015,Age groups,5–17 years,5–17 years,106,28.1,
259,Mariposa,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
260,Mendocino,2015,Age groups,5–17 years,5–17 years,90,65.1,
261,Merced,2015,Age groups,5–17 years,5–17 years,737,126.4,
262,Modoc,2015,Age groups,5–17 years,5–17 years,13,86.9,
263,Mono,2015,Age groups,5–17 years,5–17 years,14,63.8,
264,Monterey,2015,Age groups,5–17 years,5–17 years,634,78.5,
265,Napa,2015,Age groups,5–17 years,5–17 years,136,61.2,
266,Nevada,2015,Age groups,5–17 years,5–17 years,49,38.5,
267,Orange,2015,Age groups,5–17 years,5–17 years,"2,611",51.3,
268,Placer,2015,Age groups,5–17 years,5–17 years,246,40.1,
269,Plumas,2015,Age groups,5–17 years,5–17 years,15,62.2,
270,Riverside,2015,Age groups,5–17 years,5–17 years,"2,774",62.6,
271,Sacramento,2015,Age groups,5–17 years,5–17 years,"2,135",82,
272,San Benito,2015,Age groups,5–17 years,5–17 years,88,79.5,
273,San Bernardino,2015,Age groups,5–17 years,5–17 years,"3,496",84.5,
274,San Diego,2015,Age groups,5–17 years,5–17 years,"2,746",53.1,
275,San Francisco,2015,Age groups,5–17 years,5–17 years,454,56.2,
276,San Joaquin,2015,Age groups,5–17 years,5–17 years,"1,252",87.5,
277,San Luis Obispo,2015,Age groups,5–17 years,5–17 years,234,64.4,
278,San Mateo,2015,Age groups,5–17 years,5–17 years,496,41.9,
279,Santa Barbara,2015,Age groups,5–17 years,5–17 years,472,67.2,
280,Santa Clara,2015,Age groups,5–17 years,5–17 years,"1,287",40.2,
281,Santa Cruz,2015,Age groups,5–17 years,5–17 years,202,51.7,
282,Shasta,2015,Age groups,5–17 years,5–17 years,190,68.7,
283,Sierra,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
284,Siskiyou,2015,Age groups,5–17 years,5–17 years,27,41.4,
285,Solano,2015,Age groups,5–17 years,5–17 years,776,110.8,
286,Sonoma,2015,Age groups,5–17 years,5–17 years,370,49,
287,Stanislaus,2015,Age groups,5–17 years,5–17 years,872,83.4,
288,Sutter,2015,Age groups,5–17 years,5–17 years,88,47.3,
289,Tehama,2015,Age groups,5–17 years,5–17 years,89,78.1,
290,Trinity,2015,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
291,Tulare,2015,Age groups,5–17 years,5–17 years,756,71.5,
292,Tuolumne,2015,Age groups,5–17 years,5–17 years,42,63.1,
293,Ventura,2015,Age groups,5–17 years,5–17 years,829,56.9,
294,Yolo,2015,Age groups,5–17 years,5–17 years,186,59.4,
295,Yuba,2015,Age groups,5–17 years,5–17 years,80,54.1,
296,California,2015,Age groups,18–64 years,18–64 years,"99,761",40.7,
297,Alameda,2015,Age groups,18–64 years,18–64 years,"5,431",52.8,
298,Alpine,2015,Age groups,18–64 years,18–64 years,0,0,
299,Amador,2015,Age groups,18–64 years,18–64 years,112,50.2,
300,Butte,2015,Age groups,18–64 years,18–64 years,631,47.3,
301,Calaveras,2015,Age groups,18–64 years,18–64 years,115,46.8,
302,Colusa,2015,Age groups,18–64 years,18–64 years,40,29.5,
303,Contra Costa,2015,Age groups,18–64 years,18–64 years,"3,795",56.4,
304,Del Norte,2015,Age groups,18–64 years,18–64 years,79,45.5,
305,El Dorado,2015,Age groups,18–64 years,18–64 years,360,35.7,
306,Fresno,2015,Age groups,18–64 years,18–64 years,"2,928",49.8,
307,Glenn,2015,Age groups,18–64 years,18–64 years,75,43.4,
308,Humboldt,2015,Age groups,18–64 years,18–64 years,590,69.6,
309,Imperial,2015,Age groups,18–64 years,18–64 years,534,46.3,
310,Inyo,2015,Age groups,18–64 years,18–64 years,48,45,
311,Kern,2015,Age groups,18–64 years,18–64 years,"2,946",53.1,
312,Kings,2015,Age groups,18–64 years,18–64 years,551,55.2,
313,Lake,2015,Age groups,18–64 years,18–64 years,317,85.5,
314,Lassen,2015,Age groups,18–64 years,18–64 years,97,40,
315,Los Angeles,2015,Age groups,18–64 years,18–64 years,"26,914",41.2,
316,Madera,2015,Age groups,18–64 years,18–64 years,361,36.9,
317,Marin,2015,Age groups,18–64 years,18–64 years,268,17.5,
318,Mariposa,2015,Age groups,18–64 years,18–64 years,51,54,
319,Mendocino,2015,Age groups,18–64 years,18–64 years,296,58.2,
320,Merced,2015,Age groups,18–64 years,18–64 years,"1,132",70.6,
321,Modoc,2015,Age groups,18–64 years,18–64 years,26,61,
322,Mono,2015,Age groups,18–64 years,18–64 years,25,27.7,
323,Monterey,2015,Age groups,18–64 years,18–64 years,"1,034",38.5,
324,Napa,2015,Age groups,18–64 years,18–64 years,297,34.5,
325,Nevada,2015,Age groups,18–64 years,18–64 years,230,45.5,
326,Orange,2015,Age groups,18–64 years,18–64 years,"4,788",23.9,
327,Placer,2015,Age groups,18–64 years,18–64 years,611,27.9,
328,Plumas,2015,Age groups,18–64 years,18–64 years,69,61,
329,Riverside,2015,Age groups,18–64 years,18–64 years,"5,451",38,
330,Sacramento,2015,Age groups,18–64 years,18–64 years,"6,011",65.5,
331,San Benito,2015,Age groups,18–64 years,18–64 years,146,42.1,
332,San Bernardino,2015,Age groups,18–64 years,18–64 years,"6,862",51.5,
333,San Diego,2015,Age groups,18–64 years,18–64 years,"5,933",28.6,
334,San Francisco,2015,Age groups,18–64 years,18–64 years,"1,855",32.5,
335,San Joaquin,2015,Age groups,18–64 years,18–64 years,"2,558",58.7,
336,San Luis Obispo,2015,Age groups,18–64 years,18–64 years,534,33.9,
337,San Mateo,2015,Age groups,18–64 years,18–64 years,"1,399",29.6,
338,Santa Barbara,2015,Age groups,18–64 years,18–64 years,878,31.1,
339,Santa Clara,2015,Age groups,18–64 years,18–64 years,"3,711",31,
340,Santa Cruz,2015,Age groups,18–64 years,18–64 years,474,28.2,
341,Shasta,2015,Age groups,18–64 years,18–64 years,616,59.8,
342,Sierra,2015,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
343,Siskiyou,2015,Age groups,18–64 years,18–64 years,110,50.8,
344,Solano,2015,Age groups,18–64 years,18–64 years,"1,919",72.7,
345,Sonoma,2015,Age groups,18–64 years,18–64 years,"1,029",33.5,
346,Stanislaus,2015,Age groups,18–64 years,18–64 years,"1,765",53.8,
347,Sutter,2015,Age groups,18–64 years,18–64 years,175,29.6,
348,Tehama,2015,Age groups,18–64 years,18–64 years,160,43.5,
349,Trinity,2015,Age groups,18–64 years,18–64 years,52,79.2,
350,Tulare,2015,Age groups,18–64 years,18–64 years,"1,115",40.7,
351,Tuolumne,2015,Age groups,18–64 years,18–64 years,163,53.9,
352,Ventura,2015,Age groups,18–64 years,18–64 years,"1,362",25.7,
353,Yolo,2015,Age groups,18–64 years,18–64 years,464,35,
354,Yuba,2015,Age groups,18–64 years,18–64 years,178,38.9,
355,California,2015,Age groups,65+ years,65+ years,"18,093",36.4,
356,Alameda,2015,Age groups,65+ years,65+ years,"1,082",54.8,
357,Alpine,2015,Age groups,65+ years,65+ years,0,0,
358,Amador,2015,Age groups,65+ years,65+ years,39,43.7,
359,Butte,2015,Age groups,65+ years,65+ years,105,26.7,
360,Calaveras,2015,Age groups,65+ years,65+ years,24,22.9,
361,Colusa,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
362,Contra Costa,2015,Age groups,65+ years,65+ years,733,46.7,
363,Del Norte,2015,Age groups,65+ years,65+ years,12,24.1,
364,El Dorado,2015,Age groups,65+ years,65+ years,62,18.7,
365,Fresno,2015,Age groups,65+ years,65+ years,526,48.3,
366,Glenn,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
367,Humboldt,2015,Age groups,65+ years,65+ years,92,41.6,
368,Imperial,2015,Age groups,65+ years,65+ years,117,51.7,
369,Inyo,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
370,Kern,2015,Age groups,65+ years,65+ years,347,36.7,
371,Kings,2015,Age groups,65+ years,65+ years,84,60.3,
372,Lake,2015,Age groups,65+ years,65+ years,46,34.8,
373,Lassen,2015,Age groups,65+ years,65+ years,18,41.3,
374,Los Angeles,2015,Age groups,65+ years,65+ years,"4,773",38.8,
375,Madera,2015,Age groups,65+ years,65+ years,84,41.8,
376,Marin,2015,Age groups,65+ years,65+ years,106,21.7,
377,Mariposa,2015,Age groups,65+ years,65+ years,18,41.1,
378,Mendocino,2015,Age groups,65+ years,65+ years,53,30.1,
379,Merced,2015,Age groups,65+ years,65+ years,183,62.5,
380,Modoc,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
381,Mono,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
382,Monterey,2015,Age groups,65+ years,65+ years,190,37.5,
383,Napa,2015,Age groups,65+ years,65+ years,85,35.5,
384,Nevada,2015,Age groups,65+ years,65+ years,42,18.7,
385,Orange,2015,Age groups,65+ years,65+ years,"1,208",29.7,
386,Placer,2015,Age groups,65+ years,65+ years,177,28.1,
387,Plumas,2015,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
